point_number,latitude,longitude,cumulative_distance_km
293,45.14704,-0.74385,8.594180077532494
294,45.14689,-0.74388,8.611016407770073
295,45.14663,-0.74406,8.643192767557554
296,45.14657,-0.74414,8.652360538102085
297,45.14647,-0.74419,8.664149173231039
298,45.14645,-0.74421,8.666872116848666
299,45.14642,-0.74423,8.670558562029518
300,45.14636,-0.74425,8.677409644636965
301,45.14633,-0.74425,8.680743683758351
302,45.14622,-0.74423,8.693069269067744
303,45.14606,-0.74416,8.711683531623903
304,45.14602,-0.74413,8.716716241022576
305,45.14593,-0.7441,8.726992868153737
306,45.1458,-0.74403,8.742453726899377
307,45.14575,-0.74399,8.748839158341491
308,45.14559,-0.74393,8.767236177215505
309,45.14555,-0.74393,8.771681562104026
310,45.14553,-0.74394,8.774039293263822
311,45.14552,-0.74395,8.775400772349752
312,45.1455,-0.74396,8.777758503636537
313,45.14549,-0.74397,8.779119982955834
314,45.14548,-0.74399,8.781045919982715
315,45.14546,-0.74401,8.783768879012493
316,45.14544,-0.74407,8.788984976802652
317,45.14544,-0.74411,8.79213086105898
318,45.14543,-0.74417,8.7969787901736
319,45.14544,-0.74483,8.848897780702094
320,45.14547,-0.74502,8.864208151614532
321,45.14535,-0.74508,8.87835454186409
322,45.14521,-0.74517,8.89544779943983
323,45.14516,-0.74523,8.90273784590594
324,45.14497,-0.74541,8.92815980677172
325,45.14483,-0.7455,8.945253082873606
326,45.14476,-0.74553,8.953382435278616
327,45.14468,-0.74555,8.96241127644669
328,45.14467,-0.74556,8.963772762148116
329,45.14446,-0.74558,8.98716397647719
330,45.14432,-0.74558,9.002722820359855
331,45.14428,-0.74559,9.007237241628049
332,45.14413,-0.7456,9.023925973628629
333,45.1439,-0.74559,9.049499026738818
334,45.14378,-0.74561,9.062927623033232
335,45.14361,-0.74569,9.082840675638447
336,45.14352,-0.74575,9.093900107644066
337,45.14349,-0.74576,9.09732565640985
338,45.14345,-0.74579,9.102358413736038
339,45.14346,-0.74585,9.107206501763763
340,45.14346,-0.74598,9.117430979522732
341,45.14349,-0.74617,9.132741855045179
342,45.14351,-0.74621,9.13659381781778
343,45.1437,-0.74646,9.165446505729397
344,45.14376,-0.74652,9.173615464074798
345,45.14385,-0.74663,9.18684004293726
346,45.14389,-0.7467,9.193916157610392
347,45.14389,-0.74671,9.194702649987105
348,45.14391,-0.74676,9.199219796195154
349,45.14391,-0.74697,9.215736130331248
350,45.14372,-0.74845,9.334036873542278
351,45.14372,-0.74852,9.339542336541655
352,45.14455,-0.74876,9.433695547131425
353,45.14461,-0.74877,9.440409844948295
354,45.14466,-0.74877,9.445966575146178
355,45.14469,-0.74878,9.449392120884047
356,45.14472,-0.74884,9.455169984259813
357,45.14481,-0.74881,9.46544662077829
358,45.14484,-0.74882,9.468872166129895
359,45.14487,-0.74882,9.47220620437723
360,45.14547,-0.74902,9.540717093558033
361,45.1476,-0.74965,9.782563563113898
362,45.14753,-0.75006,9.815732863150046
363,45.14753,-0.75019,9.825956613381312
364,45.14752,-0.75026,9.831572767013185
365,45.14754,-0.75102,9.891383697869701
366,45.14759,-0.75154,9.9326544664118
367,45.14759,-0.75163,9.939732439915712
368,45.14767,-0.75222,9.986976564800624
369,45.14766,-0.75226,9.990312866513102
370,45.14777,-0.75323,10.067570844900093
371,45.14775,-0.7533,10.073507696488281
372,45.14781,-0.75347,10.088447769438792
373,45.14794,-0.75367,10.10980483100992
374,45.14803,-0.75378,10.123029001832569
375,45.14815,-0.7539,10.139366511291161
376,45.14816,-0.75392,10.141292388649752
377,45.14823,-0.75399,10.150822596779522
378,45.14875,-0.7544,10.216999158352644
379,45.14903,-0.75465,10.253807456972316
380,45.14912,-0.75476,10.267031521390935
381,45.14933,-0.75516,10.306200429618539
382,45.14955,-0.75569,10.35452238374512
383,45.1497,-0.75613,10.392930815419135
384,45.14977,-0.75649,10.422291039141871
385,45.1499,-0.75755,10.50689329258425
386,45.14989,-0.75762,10.512509222687985
387,45.15008,-0.7591,10.630797615125047
388,45.15009,-0.75911,10.632159058717548
389,45.15013,-0.75945,10.659263914044823
390,45.15016,-0.75956,10.668534645594427
391,45.15018,-0.75969,10.678996757654588
392,45.15043,-0.76064,10.758704205248534
393,45.15056,-0.76106,10.794754677957885
394,45.15058,-0.76116,10.802926761443645
395,45.15066,-0.7614,10.823789612508937
396,45.15026,-0.76231,10.908035393847985
397,45.1502,-0.7625,10.924397474699408
398,45.14987,-0.76385,11.03671860507683
399,45.14982,-0.76418,11.063258387643943
400,45.14927,-0.76652,11.257165297560958
401,45.14912,-0.76728,11.319214429576013
402,45.14912,-0.76732,11.322360111421773
403,45.14909,-0.7675,11.336903015080841
404,45.14907,-0.76803,11.378642551617709
405,45.14909,-0.7686,11.423523621497141
406,45.14911,-0.76876,11.436301160656498
407,45.14911,-0.76883,11.441806104849155
408,45.14931,-0.76992,11.53036062467509
409,45.14933,-0.77015,11.548584288086916
410,45.14933,-0.77026,11.5572348813975
411,45.14932,-0.77029,11.55984278600199
412,45.14937,-0.7703,11.56545489379684
413,45.1494,-0.7703,11.568788934700322
414,45.14948,-0.77033,11.577987409944376
415,45.14973,-0.77056,11.611139949674378
416,45.14989,-0.77084,11.639442640709344
417,45.15001,-0.77112,11.66518578777168
418,45.15002,-0.77113,11.666547231909647
419,45.15008,-0.77133,11.683630502570177
420,45.1501,-0.77154,11.700293957111903
421,45.15008,-0.77201,11.737321863517739
422,45.15002,-0.77229,11.760328774547043
423,45.14998,-0.77261,11.785883462988638
424,45.14993,-0.7726,11.791495570199459
425,45.14992,-0.77265,11.795581654583197
426,45.1499,-0.7735,11.862463414218537
427,45.14988,-0.77356,11.867679181352255
428,45.14989,-0.77364,11.874067865917372
429,45.14992,-0.77369,11.879223138450358
430,45.14997,-0.77382,11.890859011843672
431,45.15,-0.77398,11.903875772964923
432,45.15004,-0.77406,11.91157911568344
433,45.1501,-0.77411,11.919320190581008
434,45.15021,-0.77413,11.931645770547986
435,45.15074,-0.77408,11.990678267414795
436,45.15075,-0.77407,11.992039705870027
437,45.1516,-0.774,12.08666448136713
438,45.15177,-0.774,12.105557387459458
439,45.15359,-0.77416,12.308213605907651
440,45.15363,-0.77417,12.312728012039303
441,45.15506,-0.77429,12.471930661554497
442,45.15505,-0.77443,12.482995359243965
443,45.15505,-0.78092,12.993329313521127
444,45.155,-0.78206,13.083144048337159
445,45.15496,-0.78248,13.116468158789566
446,45.15489,-0.78283,13.145068435483442
447,45.15437,-0.78473,13.305261119017022
448,45.15434,-0.7848,13.31169654442152
449,45.15421,-0.7852,13.34630989383228
450,45.15426,-0.78524,13.352695103221953
451,45.15437,-0.78521,13.365145464829926
452,45.15464,-0.78505,13.397682812017521
453,45.15476,-0.78501,13.411384891263667
454,45.15529,-0.78494,13.470542973416793
455,45.15545,-0.78493,13.48834192172026
456,45.15565,-0.78495,13.51062445246872
457,45.15572,-0.78498,13.518753688748468
458,45.15582,-0.78505,13.53115557723269
459,45.15586,-0.7851,13.537090163416076
460,45.15596,-0.78528,13.555085774663002
461,45.15782,-0.79093,14.045088522551426
462,45.15791,-0.79105,14.058838917067517
463,45.15796,-0.79108,14.0648756209121
464,45.15804,-0.79109,14.073801112375342
465,45.15811,-0.79112,14.081930323171228
466,45.1582,-0.79113,14.09196332018027
467,45.15841,-0.79113,14.115301643111225
468,45.15851,-0.79111,14.126525841211803
469,45.15854,-0.79111,14.129859887473271
470,45.15925,-0.79093,14.210024914934582
471,45.15974,-0.79077,14.265915291729211
472,45.15981,-0.79078,14.273734368394694
473,45.16159,-0.79023,14.476226068220429
474,45.16303,-0.78984,14.639171535327002
475,45.16306,-0.78984,14.642505584238782
476,45.16307,-0.78982,14.64443112836011
477,45.16314,-0.78975,14.653960524084505
478,45.16361,-0.78919,14.722274845888686
479,45.16367,-0.78918,14.728989135202312
480,45.16448,-0.78821,14.846970069698278
481,45.1645,-0.78814,14.852905430305675
482,45.16486,-0.78759,14.911816403625686
483,45.16492,-0.78754,14.919556975892215
484,45.16494,-0.78747,14.925492297282222
485,45.16496,-0.78746,14.927849946564441
486,45.1671,-0.78387,15.296933739999416
487,45.16721,-0.78372,15.313919385928997
488,45.1673,-0.78356,15.3299900954561
489,45.1674,-0.78341,15.346194234783765
490,45.16768,-0.78293,15.395105641722456
491,45.1679,-0.78261,15.43018662029565
492,45.16795,-0.78255,15.437475469211977
493,45.16806,-0.78238,15.455587984003065
494,45.17096,-0.77865,15.89131260652962
495,45.17097,-0.77863,15.893237974062611
496,45.17132,-0.7782,15.944770932800349
497,45.17164,-0.77786,15.9892582514721
498,45.17173,-0.77778,16.001073210868825
499,45.17175,-0.77777,16.00343083150851
500,45.17279,-0.77691,16.137331053129255
501,45.17284,-0.77688,16.14336753044827
502,45.17367,-0.77617,16.251180478795206
503,45.17511,-0.77485,16.44190952434136
504,45.17531,-0.77472,16.466373073001957
505,45.17562,-0.77455,16.503325797125996
506,45.17583,-0.77446,16.52771286487451
507,45.17656,-0.77421,16.611187636449902
508,45.17663,-0.7742,16.61900671274447
509,45.17706,-0.77396,16.67038368455939
510,45.17724,-0.77381,16.6936041538571
511,45.17751,-0.77354,16.730357395194076
512,45.17788,-0.77305,16.78669822941478
513,45.17797,-0.7729,16.802159669952157
514,45.17844,-0.77224,16.875777637742477
515,45.17857,-0.7721,16.893938742654296
516,45.17857,-0.77209,16.894724758039448
517,45.17886,-0.77182,16.933313769237937
518,45.17931,-0.77146,16.990774783127353
519,45.17937,-0.7714,16.998942078305824
520,45.17945,-0.77134,17.00900625242249
521,45.17947,-0.77133,17.011363840494937
522,45.17959,-0.77123,17.026843991906762
523,45.17961,-0.77122,17.029201579389532
524,45.18037,-0.77063,17.125557657629006
525,45.18055,-0.77051,17.147674041342725
526,45.18058,-0.77059,17.15479118128945
527,45.18077,-0.77048,17.177608365210943
528,45.18098,-0.7704,17.201778986675617
529,45.18224,-0.77009,17.34391345169933
530,45.18249,-0.77001,17.37239988257652
531,45.18254,-0.77,17.37801195854848
532,45.18283,-0.76987,17.41182203362587
533,45.18372,-0.76942,17.516865647432876
534,45.1838,-0.76941,17.5257911478035
535,45.18427,-0.76915,17.58187963326816
536,45.18493,-0.76871,17.662972019669684
537,45.18495,-0.76869,17.665694364202437
538,45.18577,-0.7681,17.767943985698217
539,45.1862,-0.76771,17.824717000673388
540,45.18666,-0.76724,17.887787422888934
541,45.18669,-0.76737,17.89853442063202
542,45.18671,-0.76742,17.903049012732037
543,45.18708,-0.76913,18.04358825416667
544,45.18713,-0.76912,18.04920032573434
545,45.18715,-0.76903,18.056614424139948
546,45.18717,-0.76899,18.060464435092793
547,45.18727,-0.76885,18.076103071200077
548,45.1873,-0.76882,18.080186533232023
549,45.1874,-0.76875,18.09258712763277
550,45.18744,-0.76873,18.09730223662187
551,45.18759,-0.76869,18.114266359727576
552,45.18783,-0.76869,18.140938866708044
553,45.18854,-0.76896,18.222648250894846
554,45.18855,-0.76896,18.223759605515124
555,45.18949,-0.76932,18.331990043985638
556,45.18952,-0.76931,18.33541547377772
557,45.18955,-0.76931,18.33874953822013
558,45.1902,-0.76971,18.417530623774972
559,45.19025,-0.76975,18.423914888436947
560,45.1903,-0.76977,18.42968966239099
561,45.19032,-0.76977,18.431912372321715
562,45.19034,-0.76978,18.434269914539552
563,45.19036,-0.76977,18.436627456673552
564,45.19038,-0.76975,18.439349716658274
565,45.1904,-0.76971,18.44319958317412
566,45.19065,-0.76892,18.51121535912877
567,45.19066,-0.76891,18.51257648690254
568,45.19067,-0.76891,18.513687841936623
569,45.19069,-0.76893,18.51641009709368
570,45.19086,-0.76903,18.53687231664487
571,45.19102,-0.76914,18.55664381289267
572,45.19103,-0.76914,18.557755167996863
573,45.19128,-0.7693,18.58825166251137
574,45.19154,-0.76949,18.620776536414557
575,45.19147,-0.76989,18.653158399919086
576,45.19146,-0.77002,18.66343456593153
577,45.19151,-0.77003,18.669046633296574
578,45.19151,-0.77014,18.677690843960214
579,45.19153,-0.77021,18.68362379485632
580,45.19156,-0.77027,18.68939851715376
581,45.19162,-0.77035,18.69856292899113
582,45.19173,-0.77041,18.711665588553174
583,45.19205,-0.77047,18.74754015272547
584,45.19222,-0.77052,18.766837436173233
585,45.19233,-0.77057,18.779678249641105
586,45.19237,-0.77058,18.78419259279169
587,45.19244,-0.77062,18.792583109046287
588,45.19257,-0.77076,18.81074260824151
589,45.19272,-0.77101,18.836507842574523
590,45.19275,-0.77112,18.845772569788068
591,45.19275,-0.77117,18.849701671131864
592,45.19278,-0.77116,18.8531270924937
593,45.19287,-0.77108,18.86494084494463
594,45.1929,-0.77104,18.869523002514743
595,45.19298,-0.77096,18.880411882383335
596,45.19303,-0.77086,18.890036256322677
597,45.19309,-0.77077,18.899756443972723
598,45.19318,-0.77072,18.910502681790323
599,45.19319,-0.77071,18.91186378986612
600,45.19325,-0.7707,18.918578065983606
601,45.19337,-0.7707,18.931914332607487
602,45.19352,-0.77073,18.94875052906104
603,45.19386,-0.77083,18.987345062500147
604,45.19449,-0.77105,19.059463155313114
605,45.19461,-0.77108,19.073006174034287
606,45.19476,-0.77115,19.09056055401639
607,45.19484,-0.77093,19.11000026151409
608,45.19489,-0.77082,19.120276028823568
609,45.19501,-0.77046,19.151550490168837
610,45.19512,-0.77006,19.185275703629184
611,45.19521,-0.76981,19.207320144160366
612,45.19528,-0.76972,19.21783369304977
613,45.19534,-0.76966,19.226000242240094
614,45.19545,-0.76964,19.238325759893044
615,45.1958,-0.76969,19.27742113927672
616,45.19617,-0.76977,19.31901903776284
617,45.19634,-0.76983,19.338491460634554
618,45.19757,-0.77041,19.48258528487867
619,45.19773,-0.77045,19.500642623014368
620,45.19786,-0.77046,19.515111607779996
621,45.1979,-0.77048,19.519826628514373
622,45.19867,-0.77056,19.605631640601512
623,45.19872,-0.77055,19.611243701048863
624,45.1988,-0.77055,19.62013455398416
625,45.19887,-0.77054,19.627953629790373
626,45.199,-0.77048,19.64315099369027
627,45.19907,-0.77042,19.65224748537694
628,45.19916,-0.77032,19.66496683250692
629,45.19939,-0.77002,19.69973765804076
630,45.19959,-0.76969,19.733889656302274
631,45.19964,-0.76956,19.745517748802413
632,45.19969,-0.76939,19.759984815717804
633,45.2002,-0.76722,19.939660347613497
634,45.20024,-0.76715,19.94673226893792
635,45.20029,-0.76709,19.95401941440528
636,45.20036,-0.76704,19.962734592990703
637,45.20042,-0.76701,19.969807092326153
638,45.2005,-0.76701,19.97869794792038
639,45.20107,-0.76712,20.04263217054438
640,45.20113,-0.76712,20.049300312989384
641,45.2012,-0.76713,20.057119388744407
642,45.20125,-0.76715,20.06289409097123
643,45.20181,-0.76717,20.125149926829646
644,45.20218,-0.76715,20.166300158915252
645,45.20282,-0.767,20.23839679380984
646,45.20295,-0.76696,20.25318230016148
647,45.20302,-0.76693,20.26131103204759
648,45.20309,-0.76687,20.270407356387153
649,45.20312,-0.76691,20.274989132382608
650,45.20327,-0.76676,20.295404584486494
651,45.20363,-0.76654,20.338987543284464
652,45.20368,-0.76677,20.357893038818176
653,45.20375,-0.76701,20.378290877914992
654,45.20388,-0.76737,20.41005126031693
655,45.20391,-0.76738,20.413476652891816
656,45.20392,-0.76739,20.414837677426384
657,45.20393,-0.76739,20.415949035053423
658,45.20442,-0.76715,20.473577662265235
659,45.20457,-0.7671,20.49070461738148
